,title,basesalary,bonus,LevelBucket,region
194,Software Engineer,117000,30000,Entry,West
196,Software Engineer,156000,12000,Entry,West
202,Product Manager,126000,82000,Senior,West
205,Software Engineering Manager,83000,0,Mid,West
206,Software Engineer,176000,34000,Senior,West
213,Software Engineer,180000,13000,Associate,West
215,Software Engineer,108000,25000,Entry,West
217,Software Engineer,198000,90000,Associate,West
219,Software Engineer,124000,44000,Entry,East
221,Software Engineer,132000,21000,Entry,West
222,Software Engineer,165000,28000,Associate,West
223,Software Engineer,182000,15000,Mid,West
224,Software Engineer,166000,26000,Senior,West
229,Software Engineer,187000,0,Associate,West
230,Software Engineer,113000,6000,Entry,West
233,Software Engineer,223000,40036000,Senior,West
235,Software Engineer,123000,34000,Senior,West
236,Software Engineer,151000,16000,Mid,West
237,Software Engineer,162000,10000,Associate,West
241,Product Manager,120000,7000,Associate,
242,Software Engineer,170000,0,Senior,West
243,Product Manager,139000,33000,Associate,West
244,Software Engineer,179000,9000,Mid,West
247,Software Engineer,127000,33000,Associate,West
248,Software Engineer,157000,58000,Mid,East
254,Software Engineer,148000,0,Associate,West
256,Software Engineer,188000,0,Mid,West
257,Product Manager,197000,9000,Mid,West
258,Software Engineer,183000,0,Entry,West
259,Software Engineer,135000,33340000,Mid,West
260,Software Engineer,219000,73000,Senior,West
261,Software Engineer,133000,0,Associate,West
262,Software Engineer,154000,25107000,Mid,West
263,Product Manager,104000,26000,Associate,West
265,Software Engineer,111000,15000,Entry,West
270,Software Engineer,72000,6000,Associate,West
274,Software Engineer,133000,20000,Mid,West
275,Software Engineer,178000,74000,Mid,West
276,Product Manager,105000,43000,Senior,West
277,Product Manager,111000,76000,Mid,West
278,Software Engineer,154000,158000,Associate,West
279,Software Engineer,154000,0,Mid,West
280,Software Engineer,129000,1000,Senior,West
282,Software Engineer,244000,0,Associate,West
283,Software Engineer,169000,77000,Senior,West
284,Software Engineer,133000,16000,Associate,East
285,Software Engineer,82000,7000,Entry,West
287,Software Engineer,230000,59000,Associate,East
288,Software Engineer,88000,3000,Associate,Southern
290,Product Manager,73000,0,Senior,West
291,Product Manager,170000,131000,Mid,West
292,Software Engineer,55000,11000,Entry,West
293,Software Engineer,123000,0,Entry,West
299,Software Engineer,178000,20000,Associate,West
300,Software Engineer,161000,23000,Senior,West
303,Software Engineer,131000,1000,Mid,West
304,Software Engineer,122000,15000,Associate,West
306,Software Engineer,95000,7000,Associate,West
307,Software Engineer,268000,28000,Senior,West
310,Software Engineer,145000,0,Associate,West
316,Software Engineer,186000,13000,Associate,West
317,Software Engineer,91000,18434000,Associate,West
320,Software Engineer,106000,0,Associate,West
323,Software Engineer,167000,13000,Entry,West
325,Software Engineer,105000,11000,Mid,East
326,Software Engineer,119000,25000,Mid,West
329,Software Engineer,75000,22000,Associate,West
331,Software Engineer,234000,17000,Mid,West
336,Software Engineer,164000,22000,Mid,West
340,Product Manager,140000,0,Mid,West
341,Software Engineering Manager,230000,24000,Senior,West
342,Software Engineer,168000,14000,Senior,West
346,Software Engineer,95000,14000,Associate,West
347,Software Engineering Manager,87000,33000,Senior,
348,Software Engineer,64000,30000,Senior,
349,Software Engineering Manager,85000,43000,Senior,
350,Software Engineer,150000,0,Mid,
356,Software Engineer,115000,28000,Mid,West
358,Software Engineer,218000,66000,Mid,West
359,Product Manager,212000,64000,Associate,West
360,Software Engineer,84000,18000,Associate,West
361,Software Engineering Manager,127000,26000,Senior,West
363,Software Engineer,181000,0,Associate,West
364,Software Engineer,73000,11000,Entry,West
367,Software Engineer,139000,17000,Associate,West
368,Software Engineer,150000,12000,Associate,West
372,Software Engineer,83000,0,Senior,West
373,Software Engineer,78000,14000,Entry,West
378,Software Engineer,99000,0,Senior,
379,Product Manager,133000,13000,Senior,West
381,Software Engineer,192000,44000,Senior,West
383,Software Engineer,205000,32000,Mid,East
384,Software Engineer,177000,19000,Associate,West
387,Software Engineer,141000,0,Senior,West
389,Software Engineer,104000,6000,Senior,
390,Software Engineering Manager,142000,0,Mid,West
392,Software Engineer,173000,0,Associate,West
393,Software Engineer,136000,17000,Senior,West
397,Software Engineer,133000,0,Mid,West
399,Software Engineer,117000,20978000,Associate,West
400,Software Engineer,122000,11000,Associate,West
401,Software Engineer,68000,12000,Mid,Southern
402,Software Engineer,123000,55000,Entry,East
415,Software Engineer,170000,18000,Entry,West
416,Software Engineer,181000,0,Associate,West
418,Software Engineer,134000,17000,Senior,West
420,Software Engineer,98000,21000,Mid,West
421,Software Engineer,131000,17000,Associate,West
424,Software Engineer,220000,35000,Mid,West
426,Software Engineer,87000,135000,Senior,West
427,Product Manager,128000,0,Senior,West
429,Product Manager,93000,6000,Entry,West
431,Software Engineer,111000,38000,Mid,West
433,Software Engineer,57000,15000,Associate,West
438,Software Engineer,124000,8000,Associate,West
439,Software Engineer,163000,0,Senior,West
440,Software Engineer,159000,19000,Mid,West
443,Software Engineer,144000,31000,Senior,West
444,Product Manager,200000,100000,Mid,West
445,Software Engineer,173000,15000,Associate,West
448,Software Engineer,137000,31000,Mid,West
451,Software Engineer,134000,35000,Entry,East
452,Software Engineer,154000,18000,Associate,West
455,Software Engineer,179000,0,Senior,West
460,Software Engineer,93000,29000,Associate,West
463,Software Engineer,175000,10600000,Mid,East
467,Software Engineer,113000,0,Senior,West
468,Software Engineer,135000,10000,Mid,West
470,Software Engineer,150000,28000,Senior,West
472,Software Engineer,154000,37000,Associate,West
473,Software Engineer,198000,0,Mid,West
474,Software Engineer,169000,0,Associate,East
477,Software Engineer,201000,67000,Mid,West
479,Software Engineer,202000,161000,Senior,West
480,Software Engineer,172000,0,Senior,West
481,Software Engineer,83000,8000,Associate,West
482,Software Engineer,261000,55000,Mid,West
484,Software Engineer,111000,12000,Associate,West
489,Software Engineer,180000,30000,Associate,East
490,Software Engineer,196000,28000,Mid,West
492,Software Engineer,51000,0,Associate,Southern
494,Product Manager,193000,17000,Senior,West
497,Software Engineer,99000,0,Entry,West
501,Product Manager,186000,0,Senior,West
502,Product Manager,115000,69000,Senior,East
503,Product Manager,143000,23000,Senior,West
505,Software Engineer,202000,103000,Associate,East
506,Software Engineer,148000,4323000,Associate,West
507,Software Engineer,202000,0,Senior,West
510,Software Engineer,141000,11000,Associate,West
511,Software Engineer,170000,32000,Entry,East
512,Software Engineer,128000,32000,Associate,West
513,Product Manager,135000,28000,Senior,West
517,Software Engineer,110000,90000,Associate,West
520,Software Engineer,136000,0,Associate,West
522,Software Engineer,52000,9000,Senior,
523,Software Engineer,174000,0,Associate,West
524,Product Manager,163000,0,Senior,West
525,Software Engineer,89000,32000,Associate,West
526,Software Engineer,148000,28000,Associate,
527,Software Engineer,207000,33000,Mid,West
529,Product Manager,125000,41000,Senior,West
535,Software Engineer,80000,31000,Associate,West
536,Software Engineer,146000,0,Mid,West
537,Software Engineer,79000,12000,Entry,West
540,Software Engineer,84000,18000,Mid,West
542,Software Engineer,202000,10000,Associate,West
544,Software Engineer,167000,0,Mid,West
548,Software Engineer,142000,21000,Entry,
553,Software Engineer,148000,31927000,Associate,East
558,Product Manager,152000,0,Mid,West
559,Product Manager,183000,0,Senior,
561,Product Manager,103000,0,Senior,West
563,Software Engineer,178000,21000,Senior,West
564,Software Engineer,185000,73000,Senior,West
567,Software Engineer,90000,7000,Entry,West
568,Software Engineer,112000,13000,Mid,West
570,Product Manager,86000,24000,Senior,East
572,Software Engineer,143000,6000,Associate,West
573,Software Engineer,127000,18000,Entry,West
574,Software Engineer,167000,14000,Mid,Southern
578,Software Engineer,164000,36000,Senior,West
579,Software Engineer,202000,14000,Associate,West
580,Software Engineer,161000,0,Associate,West
581,Product Manager,205000,116638000,Senior,West
582,Software Engineer,105000,29000,Senior,West
584,Software Engineer,85000,32000,Associate,West
589,Software Engineer,151000,31000,Mid,West
590,Product Manager,221000,38000,Mid,West
592,Software Engineer,128000,28000,Associate,West
594,Software Engineer,198000,0,Associate,West
596,Software Engineer,269000,135000,Senior,West
598,Product Manager,106000,34000,Senior,West
599,Software Engineer,152000,12000,Associate,West
602,Software Engineer,245000,34000,Senior,West
603,Product Manager,88000,27000,Senior,West
604,Software Engineer,150000,0,Senior,West
607,Software Engineer,201000,33000,Entry,West
608,Software Engineer,107000,0,Mid,West
611,Software Engineer,126000,15000,Mid,West
612,Software Engineer,261000,49000,Senior,West
615,Software Engineer,193000,39000,Associate,West
617,Software Engineer,73000,18639000,Mid,West
618,Software Engineer,159000,116000,Mid,West
626,Software Engineer,225000,23112000,Mid,West
628,Software Engineer,216000,14000,Mid,West
631,Product Manager,203000,37000,Senior,West
633,Software Engineer,108000,12000,Associate,West
636,Software Engineer,161000,34000,Senior,West
637,Software Engineer,160000,12000,Associate,West
638,Software Engineer,105000,45000,Associate,West
646,Software Engineer,66000,21000,Senior,West
647,Software Engineer,183000,12000,Mid,West
649,Software Engineer,194000,26000,Senior,West
651,Software Engineer,261000,72000,Mid,West
656,Software Engineer,93000,15000,Associate,East
659,Product Manager,241000,107000,Senior,West
661,Software Engineer,186000,12000,Associate,West
664,Product Manager,157000,47000,Mid,West
667,Software Engineer,145000,13000,Entry,West
668,Software Engineer,213000,0,Entry,West
670,Software Engineer,111000,5000,Associate,West
673,Software Engineer,211000,38000,Mid,West
676,Software Engineering Manager,254000,28000,Mid,East
680,Software Engineer,154000,15000,Mid,West
682,Software Engineer,97000,35000,Associate,West
683,Product Manager,78000,0,Senior,West
687,Software Engineer,157000,101452000,Mid,West
689,Software Engineer,258000,52000,Senior,West
690,Software Engineer,182000,0,Entry,West
691,Software Engineer,142000,31488000,Mid,West
692,Software Engineer,96000,25000,Entry,West
697,Software Engineering Manager,214000,281000,Senior,West
698,Software Engineer,105000,7000,Associate,MidWest
700,Software Engineer,147000,0,Associate,West
704,Software Engineer,101000,16000,Associate,West
707,Software Engineer,181000,32000,Associate,West
709,Software Engineer,106000,7000,Senior,West
714,Software Engineer,169000,23000,Entry,West
715,Software Engineer,206000,24000,Associate,West
716,Software Engineer,168000,36000,Senior,West
718,Product Manager,229000,44000,Senior,West
719,Software Engineering Manager,215000,62000,Senior,West
721,Software Engineer,167000,49000,Mid,West
725,Software Engineer,104000,26000,Entry,West
727,Software Engineering Manager,139000,0,Senior,West
732,Software Engineer,88000,24823000,Mid,West
735,Software Engineer,106000,27403000,Entry,West
736,Software Engineer,45000,15861000,Associate,East
737,Software Engineer,150000,14000,Entry,West
739,Software Engineer,89000,0,Associate,West
740,Software Engineer,70000,6000,Associate,West
742,Software Engineer,95000,30000,Senior,East
743,Software Engineering Manager,100000,15000,Associate,East
745,Data Scientist,149000,7000,Associate,West
754,Software Engineer,119000,20000,Associate,West
756,Software Engineer,84000,37000,Entry,East
758,Software Engineer,123000,46000,Senior,West
760,Software Engineer,99000,18000,Associate,West
761,Software Engineer,141000,13000,Associate,West
762,Product Manager,157000,0,Mid,West
764,Product Manager,104000,23000,Mid,West
767,Software Engineer,57000,6000,Senior,MidWest
768,Software Engineer,67000,18000,Entry,West
770,Software Engineer,159000,8000,Senior,West
774,Software Engineer,189000,40000,Senior,East
776,Data Scientist,229000,26000,Mid,West
777,Software Engineer,243000,0,Mid,West
780,Software Engineer,85000,14000,Senior,MidWest
781,Software Engineer,124000,20000,Entry,West
783,Software Engineer,56000,0,Entry,East
784,Software Engineer,225000,36000,Associate,West
785,Software Engineer,119000,0,Mid,West
788,Software Engineer,261000,35000,Mid,West
789,Software Engineer,233000,33000,Mid,West
793,Product Manager,79000,8000,Associate,East
794,Software Engineer,225000,14000,Senior,West
795,Software Engineer,186000,22000,Mid,
796,Data Scientist,107000,15000,Associate,West
797,Software Engineer,72000,17000,Entry,West
798,Software Engineer,64000,33000,Associate,West
803,Software Engineer,184000,24000,Associate,West
804,Software Engineer,134000,12000,Associate,West
805,Software Engineer,187000,64000,Senior,West
806,Software Engineer,128000,7000,Mid,West
810,Product Manager,140000,0,Mid,West
812,Product Manager,119000,40000,Mid,West
815,Software Engineer,138000,28000,Mid,East
817,Software Engineer,99000,28000,Entry,West
819,Software Engineer,123000,14000,Mid,West
820,Software Engineer,87000,0,Senior,
824,Software Engineer,189000,19000,Mid,West
827,Software Engineer,154000,11000,Mid,West
829,Software Engineer,110000,18000,Associate,West
830,Product Manager,261000,0,Mid,West
831,Software Engineer,42000,9000,Mid,
832,Software Engineer,47000,0,Associate,
834,Software Engineer,192000,0,Mid,West
837,Product Manager,83000,0,Mid,West
838,Software Engineer,85000,27000,Entry,West
839,Software Engineer,196000,14000,Mid,West
840,Software Engineer,223000,14000,Associate,West
841,Software Engineer,64000,38000,Associate,
843,Software Engineer,152000,17000,Mid,West
844,Software Engineer,126000,9000,Mid,East
846,Software Engineer,196000,5000,Senior,West
848,Software Engineer,112000,4000,Entry,West
849,Software Engineer,180000,1000,Associate,West
850,Software Engineer,158000,36000,Senior,
852,Software Engineer,137000,0,Entry,West
856,Software Engineer,97000,0,Associate,West
857,Software Engineer,62000,7000,Mid,
858,Data Scientist,122000,49000,Mid,West
859,Solution Architect,100000,25000,Senior,West
860,Software Engineering Manager,135000,29000,Senior,West
862,Data Scientist,208000,117000,Associate,West
863,Software Engineer,69000,11000,Associate,
864,Data Scientist,168000,41981000,Entry,
866,Product Manager,126000,30000,Associate,West
868,Software Engineer,104000,19000,Entry,MidWest
870,Software Engineering Manager,145000,51000,Senior,West
871,Software Engineer,235000,34000,Senior,West
873,Software Engineer,132000,12000,Associate,West
875,Software Engineer,72000,25000,Associate,West
876,Data Scientist,209000,82000,Mid,West
880,Software Engineer,182000,30000,Entry,West
885,Software Engineer,152000,0,Associate,West
886,Software Engineer,75000,0,Associate,Southern
887,Software Engineer,127000,0,Senior,West
891,Software Engineer,79000,0,Associate,West
893,Product Manager,143000,72000,Senior,West
895,Software Engineer,180000,37000,Associate,West
896,Software Engineer,109000,13000,Associate,West
897,Data Scientist,105000,0,Associate,West
898,Software Engineer,105000,10000,Mid,West
901,Software Engineer,111000,3000,Mid,Southern
902,Software Engineer,90000,24000,Associate,West
904,Product Manager,88000,0,Senior,West
906,Software Engineering Manager,196000,7000,Mid,West
911,Software Engineer,136000,3000,Associate,West
912,Software Engineering Manager,267000,1000,Mid,West
913,Software Engineer,160000,29000,Mid,West
914,Software Engineer,207000,76000,Associate,West
915,Data Scientist,76000,13000,Associate,East
917,Product Manager,136000,181000,Associate,West
919,Software Engineer,92000,3000,Entry,West
920,Software Engineer,154000,5000,Associate,West
921,Product Manager,226000,80000,Senior,West
923,Software Engineer,94000,22000,Associate,West
924,Software Engineer,163000,104610000,Mid,West
927,Software Engineer,170000,38000,Associate,Southern
928,Software Engineer,259000,203000,Senior,West
929,Software Engineer,194000,11000,Associate,West
930,Software Engineer,96000,14000,Entry,West
932,Product Manager,93000,0,Mid,West
937,Software Engineer,174000,64000,Senior,West
938,Software Engineering Manager,46000,7000,Senior,
939,Software Engineer,180000,18000,Associate,West
940,Software Engineer,131000,24000,Associate,West
941,Software Engineer,122000,8000,Associate,
942,Software Engineer,140000,42000,Senior,
943,Software Engineer,25000,2000,Associate,
945,Software Engineer,85000,9000,Entry,West
948,Software Engineer,125000,18000,Mid,West
952,Software Engineer,196000,0,Mid,West
954,Software Engineer,151000,30000,Associate,West
956,Software Engineer,103000,32000,Mid,West
957,Software Engineering Manager,220000,151000,Senior,West
959,Software Engineer,153000,13000,Mid,West
963,Software Engineer,240000,21000,Mid,West
965,Software Engineer,139000,11000,Associate,West
966,Software Engineer,127000,11000,Associate,West
967,Software Engineer,147000,32000,Senior,West
968,Software Engineer,157000,16000,Senior,West
970,Software Engineer,183000,3000,Senior,East
971,Data Scientist,100000,0,Senior,West
974,Software Engineer,111000,36000,Mid,West
975,Software Engineer,161000,11000,Senior,West
976,Software Engineer,132000,9000,Associate,West
979,Software Engineer,81000,13211000,Entry,West
982,Product Manager,75000,35000,Mid,West
984,Product Manager,33000,4000,Senior,
988,Software Engineer,122000,7000,Mid,West
989,Software Engineer,83000,38000,Mid,West
992,Software Engineer,104000,2000,Mid,East
997,Software Engineer,238000,38000,Senior,West
1001,Software Engineer,81000,0,Associate,West
1006,Software Engineer,254000,74000,Senior,West
1009,Software Engineer,170000,21000,Associate,West
1011,Software Engineer,212000,36000,Mid,Southern
1012,Software Engineer,168000,7000,Entry,West
1014,Product Manager,73000,17000,Mid,East
1016,Software Engineer,172000,225000,Senior,West
1018,Software Engineer,110000,6000,Entry,
1019,Software Engineering Manager,182000,18000,Senior,West
1020,Software Engineer,117000,0,Associate,
1023,Software Engineer,121000,21000,Senior,West
1027,Software Engineer,161000,10000,Mid,West
1028,Software Engineer,131000,9000,Entry,West
1029,Software Engineer,153000,15000,Mid,MidWest
1030,Software Engineer,220000,22000,Associate,West
1031,Software Engineer,87000,3000,Entry,West
1032,Software Engineer,63000,0,Senior,
1037,Software Engineer,142000,1000,Senior,West
1038,Data Scientist,197000,10724000,Mid,East
1039,Software Engineer,102000,0,Associate,West
1042,Software Engineer,155000,17000,Mid,West
1043,Software Engineer,164000,16000,Entry,MidWest
1044,Software Engineer,54000,17000,Associate,Southern
1049,Software Engineering Manager,101000,5261000,Associate,Southern
1051,Software Engineer,113000,0,Entry,West
1052,Software Engineer,134000,10000,Senior,West
1054,Software Engineering Manager,157000,67000,Senior,West
1055,Software Engineer,162000,0,Mid,West
1059,Software Engineer,239000,11000,Mid,West
1060,Software Engineer,145000,22000,Associate,West
1061,Software Engineer,92000,27000,Entry,West
1062,Software Engineer,77000,13000,Mid,West
1066,Product Manager,239000,0,Senior,West
1070,Software Engineer,69000,14000,Entry,West
1075,Software Engineer,126000,8000,Mid,West
1076,Software Engineer,90000,0,Associate,West
1079,Software Engineer,263000,18000,Associate,West
1081,Software Engineer,231000,106000,Mid,East
1082,Software Engineering Manager,128000,39000,Senior,West
1085,Software Engineer,152000,0,Associate,West
1086,Software Engineer,137000,32821000,Mid,East
1087,Software Engineer,145000,23000,Associate,West
1089,Software Engineer,148000,0,Associate,West
1095,Software Engineer,166000,15000,Associate,West
1097,Software Engineer,72000,981000,Associate,Southern
1098,Product Manager,157000,29000,Senior,East
1102,Software Engineer,176000,4000,Associate,West
1103,Software Engineer,96000,14000,Associate,West
1104,Software Engineer,116000,60000,Entry,West
1111,Software Engineer,169000,8000,Senior,West
1112,Software Engineer,103000,14653000,Mid,West
1115,Software Engineer,135000,0,Mid,West
1117,Software Engineer,82000,0,Senior,West
1119,Software Engineer,196000,20823000,Associate,West
1121,Product Manager,165000,28000,Entry,West
1126,Product Manager,98000,35631000,Mid,MidWest
1127,Software Engineer,105000,7000,Senior,Southern
1128,Software Engineer,103000,15000,Senior,MidWest
1130,Software Engineer,78000,30000,Associate,West
1131,Software Engineer,122000,1000,Associate,West
1133,Software Engineer,130000,0,Associate,
1135,Software Engineer,109000,0,Associate,East
1136,Software Engineer,130000,0,Associate,West
1138,Software Engineer,201000,1000,Mid,West
1139,Product Manager,104000,25000,Mid,West
1140,Software Engineer,107000,86000,Mid,West
1144,Software Engineer,77000,27000,Associate,West
1145,Software Engineer,83000,10000,Mid,West
1146,Software Engineer,163000,10000,Mid,West
1149,Software Engineer,106000,13000,Mid,MidWest
1150,Data Scientist,121000,15000,Mid,West
1153,Software Engineer,87000,9000,Associate,West
1154,Software Engineer,178000,19000,Associate,West
1156,Software Engineering Manager,123000,14000,Associate,Southern
1161,Software Engineer,106000,32000,Associate,West
1162,Software Engineer,117000,17000,Entry,West
1163,Software Engineer,76000,17000,Entry,West
1164,Software Engineer,183000,25000,Associate,East
1167,Software Engineer,82000,26000,Entry,West
1168,Software Engineer,246000,0,Associate,West
1169,Software Engineer,143000,3000,Mid,West
1173,Product Manager,214000,26000,Mid,West
1174,Software Engineer,261000,45000,Senior,West
1175,Software Engineer,195000,0,Mid,West
1178,Software Engineer,161000,19000,Entry,West
1180,Software Engineer,111000,23000,Senior,West
1181,Software Engineer,200000,24000,Mid,West
1182,Software Engineer,33000,13000,Mid,
1183,Software Engineer,218000,7000,Associate,East
1184,Software Engineer,75000,15000,Mid,West
1190,Software Engineer,156000,0,Mid,West
1192,Software Engineer,191000,23000,Senior,West
1193,Software Engineer,196000,11000,Associate,East
1194,Software Engineer,101000,29000,Associate,West
1195,Software Engineer,210000,5000,Mid,West
1198,Product Manager,200000,108000,Mid,West
1199,Software Engineer,82000,15000,Entry,West
1200,Software Engineer,149000,7000,Mid,East
1201,Software Engineer,184000,51000,Associate,East
1203,Software Engineering Manager,121000,29000,Associate,West
1204,Software Engineer,114000,0,Mid,West
1205,Software Engineer,161000,17000,Associate,East
1206,Software Engineer,175000,9000,Mid,West
1207,Software Engineer,147000,8000,Entry,West
1208,Software Engineering Manager,179000,144000,Senior,West
1209,Software Engineer,200000,32000,Associate,West
1210,Software Engineer,210000,68000,Senior,West
1211,Software Engineer,97000,29000,Mid,West
1212,Software Engineer,89000,20000,Entry,West
1215,Product Manager,87000,40000,Senior,West
1216,Product Manager,202000,81000,Senior,West
1217,Software Engineer,126000,1000,Entry,West
1218,Software Engineer,204000,54000,Senior,West
1219,Product Manager,203000,0,Senior,West
1220,Software Engineer,209000,23000,Entry,West
1222,Software Engineer,207000,32000,Senior,West
1223,Solution Architect,171000,74000,Senior,West
1224,Product Manager,153000,15000,Entry,West
1226,Software Engineer,86000,23000,Senior,West
1227,Software Engineer,158000,0,Associate,West
1230,Software Engineer,125000,18655000,Mid,West
1231,Software Engineer,61000,4000,Associate,West
1232,Software Engineer,222000,0,Mid,West
1233,Software Engineer,145000,18000,Mid,West
1234,Software Engineer,86000,12000,Entry,East
1235,Data Scientist,85000,3000,Associate,Southern
1236,Product Manager,137000,48000,Senior,West
1237,Software Engineer,162000,32000,Senior,West
1238,Software Engineer,228000,0,Associate,West
1239,Software Engineer,75000,14000,Associate,West
1240,Software Engineer,106000,0,Senior,East
1241,Software Engineer,153000,0,Associate,West
1243,Software Engineer,174000,21000,Associate,
1245,Software Engineer,94000,12000,Entry,West
1246,Software Engineer,187000,0,Associate,West
1248,Software Engineer,126000,10000,Entry,West
1249,Software Engineer,86000,19179000,Associate,West
1250,Software Engineer,108000,9000,Mid,West
1251,Product Manager,227000,40000,Senior,West
1253,Product Manager,191000,31000,Associate,West
1254,Software Engineer,145000,0,Associate,West
1256,Software Engineer,77000,12000,Associate,Southern
1259,Software Engineer,157000,22000,Associate,West
1260,Software Engineer,114000,1000,Entry,West
1261,Product Manager,195000,7000,Senior,West
1262,Software Engineer,80000,15000,Associate,East
1263,Software Engineer,142000,31000,Associate,West
1264,Software Engineer,214000,25000,Senior,West
1266,Software Engineer,216000,44000,Mid,West
1267,Software Engineer,64000,46000,Entry,West
1269,Product Manager,109000,11000,Associate,West
1272,Solution Architect,220000,71000,Senior,West
1273,Software Engineer,122000,0,Entry,East
1274,Product Manager,179000,20000,Mid,West
1275,Software Engineer,238000,72000,Mid,West
1276,Software Engineer,150000,120000,Senior,West
1277,Software Engineer,119000,18000,Associate,West
1278,Software Engineer,185000,14000,Associate,West
1282,Software Engineer,97000,22000,Mid,West
1283,Product Manager,168000,34000,Associate,West
1288,Software Engineer,76000,18966000,Entry,West
1290,Software Engineer,89000,16000,Mid,West
1291,Software Engineer,189000,24000,Associate,West
1293,Product Manager,173000,38000,Senior,West
1294,Software Engineer,244000,20000,Senior,West
1296,Software Engineer,116000,0,Associate,Southern
1298,Software Engineer,102000,16000,Entry,West
1299,Software Engineer,85000,19000,Associate,West
1300,Software Engineer,52000,6000,Mid,West
1301,Data Scientist,73000,0,Entry,
1304,Software Engineer,114000,5000,Mid,West
1305,Software Engineer,163000,175000,Senior,West
1306,Product Manager,111000,28000,Associate,West
1307,Product Manager,108000,25870000,Associate,West
1308,Software Engineer,130000,25000,Entry,West
1309,Software Engineer,156000,12000,Associate,West
1310,Software Engineer,93000,14000,Associate,West
1312,Software Engineer,154000,14000,Mid,West
